,count,mean,std,min,25%,50%,75%,max
Age,891.0,0.3695216536611206,0.16698220937153868,0.0,0.2692339480257931,0.37170143252073384,0.4470972606182458,1.0
SibSp,891.0,0.0653759820426487,0.13784292903667897,0.0,0.0,0.0,0.125,1.0
Parch,891.0,0.06359895248784136,0.13434287018832472,0.0,0.0,0.0,0.0,1.0
Fare,891.0,0.06285842768394742,0.09699511290236998,0.0,0.01544007251587456,0.028212719478023115,0.060507970265993034,1.0
FamilySize,891.0,0.0904601571268238,0.16134585413550875,0.0,0.0,0.0,0.1,1.0
Pclass_1,891.0,0.24242424242424243,0.4287902549469696,0.0,0.0,0.0,0.0,1.0
Pclass_2,891.0,0.20650953984287318,0.4050277347542081,0.0,0.0,0.0,0.0,1.0
Pclass_3,891.0,0.5510662177328844,0.4976647568564873,0.0,0.0,1.0,1.0,1.0
Sex_female,891.0,0.35241301907968575,0.4779900708960982,0.0,0.0,0.0,1.0,1.0
Sex_male,891.0,0.6475869809203143,0.4779900708960981,0.0,0.0,1.0,1.0,1.0
Embarked_C,891.0,0.18967452300785634,0.3922636776737093,0.0,0.0,0.0,0.0,1.0
Embarked_Q,891.0,0.08754208754208755,0.28278652998552684,0.0,0.0,0.0,0.0,1.0
Embarked_S,891.0,0.7227833894500562,0.44787575674129604,0.0,0.0,1.0,1.0,1.0
salut_Master,891.0,0.04489337822671156,0.20718624545180953,0.0,0.0,0.0,0.0,1.0
salut_Miss,891.0,0.20763187429854096,0.4058395421766138,0.0,0.0,0.0,0.0,1.0
salut_Mr,891.0,0.5959595959595959,0.4909809654946298,0.0,0.0,1.0,1.0,1.0
salut_Mrs,891.0,0.15151515151515152,0.3587516660814847,0.0,0.0,0.0,0.0,1.0
Deck_A,891.0,0.016835016835016835,0.128725274695676,0.0,0.0,0.0,0.0,1.0
Deck_B,891.0,0.052749719416386086,0.22365895784447914,0.0,0.0,0.0,0.0,1.0
Deck_C,891.0,0.06621773288439955,0.24880196935485535,0.0,0.0,0.0,0.0,1.0
Deck_D,891.0,0.037037037037037035,0.188958641743737,0.0,0.0,0.0,0.0,1.0
Deck_E,891.0,0.037037037037037035,0.188958641743737,0.0,0.0,0.0,0.0,1.0
Deck_F,891.0,0.013468013468013467,0.1153323669859792,0.0,0.0,0.0,0.0,1.0
Deck_G,891.0,0.004489337822671156,0.06688950009731642,0.0,0.0,0.0,0.0,1.0
Deck_Null,891.0,0.7710437710437711,0.420396989069881,0.0,1.0,1.0,1.0,1.0
Deck_T,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
