,count,mean,std,min,25%,50%,75%,max
Age,891.0,29.826533198352088,13.288444221787051,0.42,21.845637583892618,30.0,36.0,80.0
SibSp,891.0,0.5230078563411896,1.1027434322934275,0.0,0.0,0.0,1.0,8.0
Parch,891.0,0.38159371492704824,0.8060572211299559,0.0,0.0,0.0,0.0,6.0
Fare,891.0,32.2042079685746,49.693428597180905,0.0,7.9104,14.4542,31.0,512.3292
FamilySize,891.0,1.904601571268238,1.6134585413550788,1.0,1.0,1.0,2.0,11.0
Pclass_1,891.0,0.24242424242424243,0.4287902549469696,0.0,0.0,0.0,0.0,1.0
Pclass_2,891.0,0.20650953984287318,0.4050277347542081,0.0,0.0,0.0,0.0,1.0
Pclass_3,891.0,0.5510662177328844,0.4976647568564873,0.0,0.0,1.0,1.0,1.0
Sex_female,891.0,0.35241301907968575,0.4779900708960982,0.0,0.0,0.0,1.0,1.0
Sex_male,891.0,0.6475869809203143,0.4779900708960981,0.0,0.0,1.0,1.0,1.0
Cabin_A10,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A14,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A16,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A19,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A20,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A23,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A24,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A26,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A31,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A32,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A34,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A36,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A5,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A6,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_A7,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B101,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B102,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
